72:58:65:96:57:C9,-70,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-53,"Genjutsu"
16:13:33:9F:0A:35,-43,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-69,"vivo Y75 5G"
42:3B:A0:88:33:21,-72,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-73,"Redmi Note 10S"
00:FC:BA:32:99:40,-50,"PSG"
3A:8A:80:CD:BE:AA,-54,"vedha's  A23"
A6:02:B9:30:81:D5,-71,"Prai"
78:72:5D:DE:99:20,-79,"AMCS"
8A:8F:BA:39:CF:C2,-69,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-91,"Berlin's PC"
00:FC:BA:32:91:40,-83,"PSG"

A2:8C:7B:43:54:93,-44,"Genjutsu"
16:13:33:9F:0A:35,-36,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-69,"vivo Y75 5G"
42:3B:A0:88:33:21,-66,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-73,"Redmi Note 10S"
00:FC:BA:32:99:40,-53,"PSG"
3A:8A:80:CD:BE:AA,-63,"vedha's  A23"
A6:02:B9:30:81:D5,-71,"Prai"
78:72:5D:DE:99:20,-72,"AMCS"
8A:8F:BA:39:CF:C2,-59,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-88,"Berlin's PC"
00:FC:BA:32:91:40,-83,"PSG"
78:72:5D:F5:5F:10,-80,"AMCS"

A2:8C:7B:43:54:93,-44,"Genjutsu"
16:13:33:9F:0A:35,-20,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-65,"vivo Y75 5G"
42:3B:A0:88:33:21,-63,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-73,"Redmi Note 10S"
00:FC:BA:32:99:40,-53,"PSG"
3A:8A:80:CD:BE:AA,-51,"vedha's  A23"
A6:02:B9:30:81:D5,-71,"Prai"
78:72:5D:DE:99:20,-72,"AMCS"
8A:8F:BA:39:CF:C2,-70,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-88,"Berlin's PC"
00:FC:BA:32:91:40,-83,"PSG"
78:72:5D:F5:5F:10,-80,"AMCS"

A2:8C:7B:43:54:93,-38,"Genjutsu"
16:13:33:9F:0A:35,-20,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-66,"vivo Y75 5G"
42:3B:A0:88:33:21,-69,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-83,"Redmi Note 10S"
00:FC:BA:32:99:40,-62,"PSG"
3A:8A:80:CD:BE:AA,-56,"vedha's  A23"
A6:02:B9:30:81:D5,-71,"Prai"
78:72:5D:DE:99:20,-75,"AMCS"
8A:8F:BA:39:CF:C2,-70,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
